level,group,metric,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,ill_posed_dataset
dataset,StrategyQA,delta_time_seconds,300,130.400411,116.45034733333334,-13.950063666666665,-19.67530491666667,-8.241521308333331,-10.697867866893967,0.0765762132059463,-0.11796234772978959,,,MGCoT,0.11330615514996407,False,False
dataset,aqua,delta_time_seconds,300,140.27986566666664,131.41454766666666,-8.865318,-12.991649250000002,-4.663307575000003,-6.319736590756217,0.9031399375360727,-0.008106312292358805,,,MGCoT,0.9712538434396313,False,False
dataset,asdiv,delta_time_seconds,300,77.43678233333333,85.12138433333334,7.684602000000002,1.091932916666667,13.916377516666666,9.923710371798467,0.004350817504863144,0.18994462901439646,,,SCoT,0.007737019581396354,True,False
dataset,clutrr,delta_time_seconds,300,73.08567966666666,75.082797,1.9971173333333323,-5.430049558333333,9.468141099999977,2.732569967799299,0.325668233639719,0.06547065337763013,,,SCoT,0.41176443333757573,False,False
dataset,date,delta_time_seconds,300,92.82138433333334,63.57268166666666,-29.248702666666667,-36.567660958333335,-21.93262757500002,-31.510737398217284,4.3813017536731234e-13,-0.4824806201550388,,,MGCoT,3.3074532846355934e-12,True,False
dataset,gsm8k,delta_time_seconds,300,129.9846676666667,123.14977933333333,-6.834888333333335,-11.193395666666667,-2.638416208333335,-5.2582265708912335,0.13986076140726855,-0.09833887043189368,,,MGCoT,0.19544970287404137,False,False
dataset,saycan,delta_time_seconds,300,101.41776999999999,89.76672366666666,-11.651046333333337,-19.531727383333333,-4.3552879500000055,-11.488170498457357,0.051758392012253004,-0.12956810631229235,,,MGCoT,0.0795263672407387,False,True
dataset,MultiArith,target_error,300,0.4544647469610184,0.478407519499715,0.023942772538696647,0.016478838282975923,0.03136174169909775,5.268345388459873,2.0426288910146976e-08,0.3748288478373101,,,SCoT,7.561655029237101e-08,True,False
dataset,QASports,target_error,300,0.5694029635028924,0.5644011181876125,-0.005001845315279881,-0.01647197128323429,0.006397393855346171,-0.8784368252158687,0.6451683471818666,0.03072463768115942,,,MGCoT,0.7252257333285216,False,True
dataset,SVAMP,target_error,300,0.42213764731133563,0.44955474800944556,0.027417100698109997,0.0200039262188699,0.035099200289785644,6.494824821414066,1.5605624498476607e-10,0.4269788182831661,,,SCoT,8.707486133207961e-10,True,False
dataset,StrategyQA,target_error,300,0.5757539253623878,0.5334363553917454,-0.042317569970642455,-0.050155824437017736,-0.034558660904665396,-7.349940331541321,6.223106412769518e-22,-0.6433301160467778,,,MGCoT,1.4093505699507438e-20,True,False
dataset,aqua,target_error,299,0.46574033659253145,0.4534733251766072,-0.012267011415924308,-0.019628903051899866,-0.005241267498083445,-2.6338735239624556,0.11320271900725336,-0.10568561872909699,,,MGCoT,0.16052687594030401,False,False
dataset,asdiv,target_error,300,0.4354460054173707,0.4684180773051586,0.032972071887787946,0.02507479560230134,0.04087921822644894,7.572023047078946,7.624277612763817e-13,0.4806624806624807,,,SCoT,5.5383903413473014e-12,True,False
dataset,clutrr,target_error,300,0.42324331606410753,0.35333452087515077,-0.06990879518895676,-0.08608190312662184,-0.05419133810724738,-16.517400874528605,3.83631406990303e-10,-0.4285890783296269,,,MGCoT,1.99592015799009e-09,True,False
dataset,date,target_error,300,0.4460273066368264,0.4344240353541425,-0.011603271282683831,-0.03042922806616551,0.007138966720457801,-2.6014710557019076,0.05851225500322754,0.1264393616304909,,,MGCoT,0.08886476598123315,False,False
dataset,gsm8k,target_error,300,0.2764802220563125,0.286277740375268,0.009797518318955511,0.0036450575108478668,0.015999121190585587,3.543659740319504,0.002157381533848413,0.20434108527131783,,,SCoT,0.0040222367580224645,True,False
dataset,saycan,target_error,300,0.37636711063179473,0.40915377496876154,0.032786664336966864,0.023081462325887293,0.04258704317290357,8.711352137525779,3.877139299598091e-12,0.47355083940449794,,,SCoT,2.5645468401059678e-11,True,True
model,gemma2_2b,accuracy,500,0.41,0.352,-0.058,-0.098,-0.02,-14.146341463414636,0.005077381119448144,-0.2871287128712871,65.0,36.0,SCoT,0.00892598963921249,True,False
model,llama3.2_1b,accuracy,500,0.37,0.03,-0.34,-0.386,-0.294,-91.89189189189189,3.5727667957599997e-40,-0.8762886597938144,182.0,12.0,SCoT,1.9650217376679997e-38,True,False
model,mistral_7b,accuracy,500,0.38,0.208,-0.172,-0.222,-0.124,-45.26315789473684,1.053572672891221e-11,-0.524390243902439,125.0,39.0,SCoT,6.542346436501936e-11,True,False
model,openchat_7b,accuracy,500,0.444,0.452,0.008,-0.036,0.050049999999999276,1.8018018018018018,0.789395944688143,0.031746031746031744,61.0,65.0,MGCoT,0.8683355391569574,False,False
model,phi3_mini,accuracy,500,0.468,0.384,-0.084,-0.13,-0.036,-17.94871794871795,0.0005851398425063666,-0.2916666666666667,93.0,51.0,SCoT,0.0011888065401844388,True,False
model,qwen2_1.5b,accuracy,500,0.364,0.366,0.002,-0.034,0.038,0.5494505494505495,1.0,0.011764705882352941,42.0,43.0,MGCoT,1.0,False,False
model,gemma2_2b,semantic_similarity,500,0.26244310563711043,0.2823901556711644,0.019947050034053972,0.009937617024573773,0.030400578549175404,7.6005235441907475,0.06950838199307253,0.09368463073852296,,,MGCoT,0.10412734267444718,False,False
model,llama3.2_1b,semantic_similarity,500,0.2655754212979227,0.11041368178417904,-0.15516173951374368,-0.17298690896840999,-0.13774658453747982,-58.42473627846875,1.0274680071983158e-51,-0.7809181636726547,,,SCoT,6.592919712855861e-50,True,False
model,mistral_7b,semantic_similarity,500,0.28130560683226213,0.23684565651137382,-0.044459950320888314,-0.05485735612101853,-0.03425555056496524,-15.804857507656804,1.2302260917731143e-18,-0.4548183632734531,,,SCoT,2.3104246113787756e-17,True,False
model,openchat_7b,semantic_similarity,500,0.27874072010826784,0.27623499177981287,-0.0025057283284550067,-0.011375722883152776,0.006440878390276332,-0.8989459191616272,0.0016708513454570682,-0.16223552894211576,,,SCoT,0.0031766803358072655,True,False
model,phi3_mini,semantic_similarity,500,0.26323504030006006,0.2760422484499868,0.012807208149926733,0.00020466705836006007,0.02604748687538667,4.865312815242177,0.3321015665035184,0.05005988023952096,,,MGCoT,0.41673542233942384,False,False
model,qwen2_1.5b,semantic_similarity,500,0.2512026023347862,0.2536260907916585,0.0024234884568722906,-0.003906871313217565,0.008698274136352118,0.9647545186026479,0.9447140713062333,-0.0036994514606454904,,,MGCoT,1.0,False,False
